CASEID,HELPFUL,FAIR,TRUST,YEAR,AGE,SEX,RACE,HISPANIC,EDUC,DEGREE,MARITAL
  451,2,1,2,1972,22,2,2, 0,12,1,5
  452,2,1,2,1972,28,1,2, 0,12,1,1
  453,2,3,1,1972,57,1,2, 0,13,1,1
  454,1,2,1,1972,48,1,2, 0,14,1,1
  455,2,1,1,1972,26,1,2, 0,12,1,1
  456,1,2,1,1972,50,2,1, 0, 8,0,2
  457,2,1,2,1972,32,2,1, 0,12,1,1
  458,1,2,1,1972,56,2,1, 0, 8,0,1
  459,3,3,2,1972,26,1,1, 0,12,1,5
  460,1,2,2,1972,30,2,1, 0,12,1,1
  461,1,2,2,1972,83,1,1, 0, 4,0,2
  462,2,1,2,1972,26,2,1, 0,12,1,3
  463,2,2,1,1972,20,1,1, 0, 9,0,5
  464,1,2,1,1972,41,1,1, 0,12,0,1
  465,3,2,2,1972,56,2,1, 0, 7,0,1
  466,3,1,2,1972,83,2,1, 0, 6,0,1
  467,2,1,2,1972,27,2,1, 0, 5,0,1
  468,2,2,2,1972,21,2,1, 0, 5,0,1
  469,8,2,2,1972,19,1,1, 0,12,1,5
  470,2,1,2,1972,41,1,1, 0,12,1,1
  471,1,2,1,1972,35,1,1, 0,12,1,1
  472,3,2,3,1972,57,2,1, 0, 9,0,1
  473,1,2,1,1972,42,2,1, 0,12,1,1
  474,1,2,1,1972,54,2,1, 0,10,0,1
  475,2,2,1,1972,24,2,1, 0,12,1,1
  476,1,2,1,1972,62,1,1, 0, 8,0,1
  477,1,1,2,1972,39,1,1, 0, 8,0,1
  478,1,2,2,1972,24,1,1, 0,11,9,1
  479,1,2,2,1972,66,2,1, 0,12,1,5
  480,1,2,1,1972,55,1,1, 0,11,1,1
  481,2,2,1,1972,25,1,1, 0,12,1,5
  482,1,2,2,1972,61,2,1, 0,12,1,2
  483,2,1,2,1972,62,2,1, 0,11,0,2
  484,2,1,2,1972,29,1,1, 0,19,4,1
  485,2,2,1,1972,27,1,1, 0,16,3,1
  486,1,2,1,1972,44,2,1, 0,12,1,1
  487,2,2,1,1972,44,1,1, 0,12,1,1
  488,1,2,2,1972,34,2,1, 0,12,1,1
  489,1,1,2,1972,23,1,1, 0,11,0,1
  490,1,2,2,1972,58,2,1, 0,12,1,2
  491,2,2,1,1972,24,1,1, 0,16,3,5
  492,2,1,2,1972,34,2,1, 0,11,0,1
  493,1,2,1,1972,42,2,1, 0,12,1,1
  494,1,2,2,1972,32,2,1, 0,12,1,1
  495,2,1,1,1972,52,1,1, 0, 7,0,1
  496,1,1,2,1972,22,2,1, 0,12,1,5
  497,1,1,2,1972,35,2,1, 0,10,0,1
  498,2,2,2,1972,45,1,1, 0,14,1,1
